id,kind,source,label,path,ai_score,canvas_ai_score,predicted,correct,target_class,top_box_normalized,mean_effect_top,mean_effect_random_median,mean_top_percentile,blur_effect_top,blur_effect_random_median,blur_top_percentile,jpeg_q70_spearman,jpeg_q70_top_iou,randomization_spearman,localisation_supported,localisation_returned_class_drop,peak
0116daf6a9d8,genimage,BigGAN,0,data/raw/genimage_subset/0235c4475707b028fe9560c0b9a8dd620524e502e93fdedd3db808ecc1225f6f.jpeg,0.006821735296398401,0.0031173962634056807,0,1,real,"[0.41106719367588934, 0.16996047430830039, 0.7430830039525692, 0.5019762845849802]",0.049975571455433965,0.04661425878293812,0.5,0.14628937956877053,0.08432770636864007,0.6875,0.7959196637650445,0.5006851192107427,0.8261635595592148,1,0.04989595664665103,0.3573768436908722
02834d14e0a1,genimage,BigGAN,0,data/raw/genimage_subset/c3789a4e61c470c7314f1fb29791d3f082ad4e460dcbf57b75f84e12236856fa.jpeg,0.005985422991216183,0.006116992328315973,0,1,real,"[0.5813333333333334, 0.6693333333333333, 0.9146666666666666, 1.0026666666666666]",0.013773759361356497,0.0569286267273128,0.125,0.011397324036806822,0.06433334713801742,0.0,0.8574552109178901,0.6086956521739131,0.916801655738601,0,0.014128156937658787,0.21927833557128906
06e073e4f3de,genimage,BigGAN,0,data/raw/genimage_subset/2bec1f0d9a3447214deaf37cebbd83fd03ef9f86580e73aa33724d7dc1e787ea.jpeg,0.6047252416610718,0.6568294167518616,0,1,real,"[0.6693333333333333, 0.6693333333333333, 1.0026666666666666, 1.0026666666666666]",-0.09578067064285278,0.2840573489665985,0.0,0.1857805848121643,0.28148022294044495,0.0,0.9005420701749136,1.0,0.907609665621498,1,0.04783439636230469,0.1534806787967682
0828a16ab6d4,genimage,BigGAN,0,data/raw/genimage_subset/dfa764504afd8aab4c5a5ed15a1accd0c5699a50a2140e378e3ac4d4f25722a9.jpeg,0.040007583796978,0.043581392616033554,0,1,real,"[0.4431137724550898, 0.6167664670658682, 0.7754491017964071, 0.9491017964071856]",0.28372809663414955,0.5887256897985935,0.0625,0.8141057230532169,0.802222553640604,0.6875,0.6925409962185342,0.56815578465063,0.7757740526435032,1,0.6149822771549225,0.049373652786016464
08911f7f9806,genimage,BigGAN,0,data/raw/genimage_subset/1e4a6cff4d263c9f24395cd64c3b7322ecf61967b94c6b8a17d835c07559fe6a.jpeg,0.004943104926496744,0.003764714580029249,0,1,real,"[0.6693766937669376, 0.06233062330623306, 1.002710027100271, 0.3956639566395664]",0.14296526135876775,0.08872127206996083,0.75,0.3386182230897248,0.2974794995971024,0.625,0.6388390390801482,0.7011494252873564,0.8844841697397965,0,0.03780133929103613,0.8126101493835449
0440c045478a,genimage,BigGAN,1,data/raw/genimage_subset/6856b48b3c1ffdca2724db8a947d68ac4fd738da82be637361fcae8f2c68bef1.png,0.8757617473602295,0.8757609724998474,1,1,ai_generated,"[0.5390625, 0.0, 0.8671875, 0.328125]",-0.052325308322906494,-0.11588892340660095,0.9375,-0.10596179962158203,-0.12350800633430481,1.0,0.46390366497956975,0.0,0.6073165913635428,0,-0.05577045679092407,0.04033308103680611
07dac34ee2f8,genimage,BigGAN,1,data/raw/genimage_subset/4b224686d34767c3c64338acca1a4a40b0e99a5820874dba596568b31a1818e4.png,0.9944500923156738,0.9944500923156738,1,1,ai_generated,"[0.359375, 0.296875, 0.6875, 0.625]",-0.004981696605682373,-0.0021261274814605713,0.0625,-0.005314886569976807,-0.004500240087509155,0.1875,0.6336662968967269,0.688039457459926,0.8614228012320672,0,-0.004758179187774658,0.07556870579719543
082a07e8ca18,genimage,BigGAN,1,data/raw/genimage_subset/65c63ce1c00aa6f2ff293485956acfd6a354f08a462b22263072aba0a8888834.png,0.9928739070892334,0.9928739070892334,1,1,ai_generated,"[0.109375, 0.1015625, 0.4375, 0.4296875]",-0.001622021198272705,0.0024085938930511475,0.1875,-0.004820048809051514,-0.004348427057266235,0.25,0.5843760381846062,0.5194228634850167,0.6770105391518695,0,0.0017009377479553223,0.09214235097169876
0a28b9010d7a,genimage,BigGAN,1,data/raw/genimage_subset/ef2ce97be527d01dc83c312d5ccf6c196d86420a17a7a28eb58076ed5b542eb5.png,0.9982926249504089,0.9982925057411194,1,1,ai_generated,"[0.671875, 0.5390625, 1.0, 0.8671875]",0.017354309558868408,0.0034874677658081055,0.875,0.0022143125534057617,0.0016302168369293213,0.6875,0.6936780199168773,0.8271604938271605,0.8362271199586535,1,0.03111189603805542,0.5243934392929077
1201455d1157,genimage,BigGAN,1,data/raw/genimage_subset/3adb4ba09f513e8b633acdcc10c1c9df7e6045837fe2023212f8015cd869d24e.png,0.5745278596878052,0.5745266675949097,0,0,real,"[0.3828125, 0.2890625, 0.7109375, 0.6171875]",0.41687893867492676,0.354580819606781,1.0,0.4237290024757385,0.40009093284606934,1.0,0.5664337310529556,0.9733333333333334,0.8434116941958928,1,0.41146963834762573,0.28123268485069275
