id,kind,source,label,path,ai_score,predicted,correct,target_class,crops,top_box_normalized,mean_effect_top,mean_effect_random_median,mean_top_percentile,blur_effect_top,blur_effect_random_median,blur_top_percentile,jpeg_q70_spearman,jpeg_q70_top_iou,randomization_spearman
0116daf6a9d8,genimage,BigGAN,0,data/raw/genimage_subset/0235c4475707b028fe9560c0b9a8dd620524e502e93fdedd3db808ecc1225f6f.jpeg,0.022417273372411728,0,1,real,5,"[0.41842105263157897, 0.5849802371541502, 0.5289473684210526, 0.7509881422924901]",0.0023120231926441193,-0.0019065216183662415,0.9375,0.0034277886152267456,-0.0013382434844970703,1.0,0.9705037012112537,1.0,0.3981972440947292
02834d14e0a1,genimage,BigGAN,0,data/raw/genimage_subset/c3789a4e61c470c7314f1fb29791d3f082ad4e460dcbf57b75f84e12236856fa.jpeg,0.012884964235126972,0,1,real,5,"[0.238, 0.22666666666666666, 0.322, 0.33866666666666667]",0.0032292241230607033,-0.0014701969921588898,1.0,0.002022477798163891,-0.0006451383233070374,1.0,0.997253458165976,0.7908629441624365,0.7232010201861682
06e073e4f3de,genimage,BigGAN,0,data/raw/genimage_subset/2bec1f0d9a3447214deaf37cebbd83fd03ef9f86580e73aa33724d7dc1e787ea.jpeg,0.3027508556842804,0,1,real,5,"[0.232, 0.16533333333333333, 0.316, 0.2773333333333333]",0.017622292041778564,-0.03004215657711029,1.0,-0.017227888107299805,-0.03156018257141113,0.875,0.9842580296382993,0.6610169491525424,0.5594486627534334
0828a16ab6d4,genimage,BigGAN,0,data/raw/genimage_subset/dfa764504afd8aab4c5a5ed15a1accd0c5699a50a2140e378e3ac4d4f25722a9.jpeg,0.0136647317558527,0,1,real,5,"[0.622, 0.18862275449101795, 0.706, 0.3143712574850299]",0.0009101126343011856,-0.0014000632800161839,1.0,0.0003960542380809784,-0.0019247415475547314,0.8125,0.8779160939258992,0.0,0.6573580070660319
275bedec1c26,genimage,BigGAN,0,data/raw/genimage_subset/077b7fa0e882d101d11f26f14274197ab5afe3ae58606b149a8254d9417b9ecf.jpeg,0.6871313452720642,1,0,ai_generated,5,"[0.2682926829268293, 0.2275, 0.34709193245778613, 0.3325]",0.06284952163696289,0.021897047758102417,0.875,-0.006508946418762207,-4.9561262130737305e-05,0.3125,0.9175771000136256,0.40669856459330145,0.751444940695046
0440c045478a,genimage,BigGAN,1,data/raw/genimage_subset/6856b48b3c1ffdca2724db8a947d68ac4fd738da82be637361fcae8f2c68bef1.png,0.5278884768486023,1,1,ai_generated,1,"[0.0, 0.5078125, 0.328125, 0.8359375]",0.3609005808830261,0.0790015310049057,0.9375,0.434456467628479,0.2699446976184845,1.0,-0.43588999617000845,0.0,0.5452216939987253
07dac34ee2f8,genimage,BigGAN,1,data/raw/genimage_subset/4b224686d34767c3c64338acca1a4a40b0e99a5820874dba596568b31a1818e4.png,0.9339518547058105,1,1,ai_generated,1,"[0.1171875, 0.3515625, 0.4453125, 0.6796875]",0.03154498338699341,0.1210823655128479,0.125,0.08559036254882812,0.18388453125953674,0.3125,0.9686280883985761,0.72265625,-0.08834645825897709
082a07e8ca18,genimage,BigGAN,1,data/raw/genimage_subset/65c63ce1c00aa6f2ff293485956acfd6a354f08a462b22263072aba0a8888834.png,0.915450394153595,1,1,ai_generated,1,"[0.2265625, 0.0, 0.5546875, 0.328125]",0.027442991733551025,0.00222662091255188,0.8125,0.022452175617218018,0.06591728329658508,0.3125,0.8997966575519601,0.9534883720930233,-0.5632224609059274
0d0a53c242e6,genimage,BigGAN,1,data/raw/genimage_subset/5b6e7c9be6ca8f26cefcf24539d1e51d7a4e23a3514f114ebe754596c7baa26d.png,0.38677433133125305,0,0,real,1,"[0.671875, 0.28125, 1.0, 0.609375]",-0.12093311548233032,-0.19518449902534485,0.625,0.03280913829803467,-0.13527166843414307,0.75,-0.7376258478872536,0.0,-0.03107176605453571
20ba1e1bd898,genimage,BigGAN,1,data/raw/genimage_subset/deb9cfc120d109911d00de1a99f409ab998726afc07fe02d50e10f04358df23b.png,0.016198858618736267,0,0,real,1,"[0.40625, 0.5390625, 0.734375, 0.8671875]",-0.0024955635890364647,-0.003961262293159962,0.5625,0.004251854494214058,-0.004560432862490416,0.8125,0.9576356940446292,0.36850271528316525,0.4901381574836216
0055f9c207ca,genimage,stable_diffusion_v_1_5,0,data/raw/genimage_subset/77e47e6b67d3f8eb1d02140e732e315fa99e2a963362c1e9c588ad94bddcd92e.jpeg,0.009352465160191059,0,1,real,5,"[0.654, 0.264, 0.738, 0.376]",0.004181090742349625,0.00015208031982183456,0.9375,0.003107692115008831,0.0004735221154987812,0.8125,0.9198214154446469,0.6050955414012739,
01b641cdf30a,genimage,stable_diffusion_v_1_5,0,data/raw/genimage_subset/86468a87ea4bdecb91d4ae2da806b634087bfee355a4b30efc12dc0603811cde.jpeg,0.26590773463249207,0,1,real,3,"[0.3220338983050847, 0.1796875, 0.559322033898305, 0.5078125]",0.052356064319610596,-0.11632394045591354,0.8125,0.3170531094074249,-0.10403694957494736,0.9375,0.9957539368331768,0.6920863309352518,
0330e9f0a633,genimage,stable_diffusion_v_1_5,0,data/raw/genimage_subset/ed66df1c5762bad9371fbb3bfdbf4cb0f349077c76f1f327f0c4ec4943d2e0c6.jpeg,0.012419426813721657,0,1,real,5,"[0.232, 0.2934131736526946, 0.316, 0.41916167664670656]",-0.004076885990798473,-0.00015266938135027885,0.125,-0.003442053683102131,0.00020200852304697037,0.0,0.9839757013534428,0.0,
11f5ea03b11d,genimage,stable_diffusion_v_1_5,0,data/raw/genimage_subset/fa88420ca59075d3873ae273801679f5ef1594d5e9fa1f27c80eb53718612a80.jpeg,0.6041797399520874,1,0,ai_generated,3,"[0.0, 0.4296875, 0.2441860465116279, 0.7578125]",0.18262740969657898,0.04653880000114441,0.875,0.21475008130073547,0.04298555850982666,0.875,0.9310067401740122,0.9090909090909091,
