id,source,label,ai_score,correct,reviewer1_region_plausible,reviewer1_explanation_useful,reviewer2_region_plausible,reviewer2_explanation_useful,notes
0116daf6a9d8,BigGAN,0,0.022,1,,,,,
02834d14e0a1,BigGAN,0,0.013,1,,,,,
06e073e4f3de,BigGAN,0,0.303,1,,,,,
0828a16ab6d4,BigGAN,0,0.014,1,,,,,
275bedec1c26,BigGAN,0,0.687,0,,,,,
0440c045478a,BigGAN,1,0.528,1,,,,,
07dac34ee2f8,BigGAN,1,0.934,1,,,,,
082a07e8ca18,BigGAN,1,0.915,1,,,,,
0d0a53c242e6,BigGAN,1,0.387,0,,,,,
20ba1e1bd898,BigGAN,1,0.016,0,,,,,
0055f9c207ca,stable_diffusion_v_1_5,0,0.009,1,,,,,
01b641cdf30a,stable_diffusion_v_1_5,0,0.266,1,,,,,
0330e9f0a633,stable_diffusion_v_1_5,0,0.012,1,,,,,
11f5ea03b11d,stable_diffusion_v_1_5,0,0.604,0,,,,,
13208a88ed65,stable_diffusion_v_1_5,0,0.542,0,,,,,
014b7cfdf049,stable_diffusion_v_1_5,1,0.595,1,,,,,
0449c1968f7a,stable_diffusion_v_1_5,1,0.501,1,,,,,
04a9419627e5,stable_diffusion_v_1_5,1,0.646,1,,,,,
0eb2036f4052,stable_diffusion_v_1_5,1,0.102,0,,,,,
0f7a802c4b2e,stable_diffusion_v_1_5,1,0.135,0,,,,,
00798bc2a523,imagenet,0,0.072,1,,,,,
0088f643846c,imagenet,0,0.134,1,,,,,
01e52141dfc8,imagenet,0,0.015,1,,,,,
033b552c377d,imagenet,0,0.038,1,,,,,
0394bab4773f,imagenet,0,0.292,1,,,,,
00b2cf222d06,guided,1,0.291,0,,,,,
010182a66794,guided,1,0.062,0,,,,,
0119277c9ebe,guided,1,0.506,1,,,,,
0367a45f58b1,guided,1,0.648,1,,,,,
0c36d5055037,guided,1,0.636,1,,,,,
0071854e4cd8,laion,0,0.045,1,,,,,
0112467a1c90,laion,0,0.581,0,,,,,
036372a684bb,laion,0,0.005,1,,,,,
03fa10f1005e,laion,0,0.587,0,,,,,
04131ca77e07,laion,0,0.146,1,,,,,
00d171343ac7,ldm_200,1,0.159,0,,,,,
00e3a62ee6b5,ldm_200,1,0.668,1,,,,,
016ba4749401,ldm_200,1,0.638,1,,,,,
017c68e464ad,ldm_200,1,0.570,1,,,,,
027f5f021a97,ldm_200,1,0.118,0,,,,,
